[6, 2, 11, 1, 2, 8, 13, 0, 4, 13, 9, 11, 8, 13, 1, 7]
[7, 3, 12, 2, 2, 8, 0, 1, 5, 14, 10, 12, 9, 14, 2, 8]
[8, 4, 13, 3, 3, 9, 1, 2, 5, 0, 11, 13, 10, 15, 3, 9]
[9, 5, 14, 4, 4, 10, 2, 3, 6, 1, 12, 14, 11, 0, 4, 10]
[10, 5, 0, 5, 5, 11, 3, 4, 7, 2, 13, 15, 12, 1, 5, 11]
[11, 6, 1, 6, 6, 12, 4, 5, 8, 3, 14, 0, 13, 2, 6, 12]
[12, 7, 2, 7, 7, 13, 5, 6, 9, 3, 0, 1, 14, 3, 7, 13]
[13, 8, 3, 8, 8, 14, 6, 7, 10, 4, 1, 1, 0, 4, 8, 14]
[14, 9, 4, 9, 8, 0, 7, 8, 11, 5, 2, 2, 1, 5, 9, 15]
[15, 10, 5, 10, 9, 1, 8, 9, 12, 6, 3, 3, 2, 6, 10, 0]
[0, 11, 6, 11, 10, 2, 9, 10, 13, 7, 4, 4, 3, 7, 11, 1]
[1, 12, 7, 12, 11, 3, 9, 10, 0, 8, 5, 5, 4, 8, 12, 2]
[1, 0, 8, 13, 12, 4, 10, 11, 1, 9, 6, 6, 5, 9, 12, 2]
[2, 0, 8, 0, 13, 5, 11, 12, 2, 10, 7, 7, 6, 10, 13, 3]
[3, 1, 8, 0, 0, 6, 12, 13, 3, 11, 8, 8, 7, 11, 14, 4]
[4, 2, 9, 1, 1, 7, 13, 14, 4, 12, 9, 9, 8, 11, 0, 5]
[5, 3, 10, 2, 2, 8, 13, 0, 5, 13, 10, 10, 9, 12, 1, 6]
[6, 4, 11, 3, 2, 8, 0, 1, 6, 14, 11, 11, 10, 13, 2, 7]
[7, 5, 12, 4, 3, 9, 1, 2, 6, 0, 12, 12, 11, 14, 3, 8]
[8, 6, 13, 5, 4, 10, 2, 3, 7, 1, 13, 13, 11, 0, 4, 9]
[8, 6, 0, 6, 5, 11, 3, 4, 8, 2, 14, 14, 12, 1, 5, 10]
[9, 7, 1, 7, 6, 12, 4, 5, 9, 2, 0, 15, 13, 2, 6, 11]
[10, 8, 2, 8, 7, 13, 5, 6, 10, 3, 1, 0, 14, 3, 7, 12]
[11, 9, 3, 9, 8, 14, 6, 7, 11, 4, 2, 0, 0, 4, 8, 13]
[12, 10, 4, 10, 8, 0, 7, 8, 12, 5, 3, 1, 1, 5, 9, 14]
[13, 11, 5, 11, 9, 1, 8, 9, 13, 6, 4, 2, 2, 6, 9, 0]
[0, 12, 6, 12, 10, 2, 9, 10, 14, 7, 5, 3, 3, 7, 9, 0]
[1, 13, 7, 13, 11, 3, 10, 10, 0, 8, 6, 4, 4, 8, 10, 1]
